iter	Passed	Remaining
404	14015	20590
405	14024	20519
406	14035	20449
407	14110	20473
408	14118	20400
409	14178	20402
410	14187	20332
411	14192	20255
412	14283	20301
413	14289	20226
414	14336	20209
415	14343	20136
416	14361	20078
417	14364	20000
418	14414	19987
419	14416	19908
420	14418	19829
421	14422	19753
422	14425	19677
423	14428	19601
424	14433	19527
425	14437	19453
426	14538	19509
427	14580	19486
428	14582	19409
429	14592	19343
430	14650	19341
431	14652	19265
432	14654	19189
433	14656	19114
434	14660	19042
435	14664	18969
436	14764	19021
437	14784	18970
438	14833	18956
439	14963	19044
440	14967	18972
441	14975	18905
442	14979	18834
443	15066	18867
444	15068	18793
445	15070	18719
446	15076	18651
447	15109	18617
448	15113	18546
449	15123	18484
450	15217	18523
451	15237	18473
452	15240	18402
453	15241	18330
454	15246	18262
455	15251	18195
456	15320	18203
457	15356	18172
458	15412	18165
459	15416	18097
460	15469	18086
461	15471	18016
462	15509	17988
463	15519	17927
464	15522	17859
465	15527	17793
466	15600	17805
467	15605	17739
468	15642	17710
469	15681	17682
470	15684	17615
471	15699	17562
472	15749	17547
473	15827	17564
474	15841	17509
475	15939	17547
476	15946	17484
477	15991	17463
478	15994	17396
479	16041	17378
480	16089	17360
481	16091	17293
482	16094	17227
483	16096	17161
484	16185	17187
485	16273	17211
486	16275	17144
487	16321	17124
488	16422	17161
489	16424	17094
490	16426	17028
491	16464	17000
492	16566	17037
493	16584	16987
494	16635	16971
495	16667	16936
496	16716	16917
497	16718	16852
498	16719	16786
499	16747	16747
500	16755	16688
501	16763	16629
502	16848	16647
503	16935	16666
504	16944	16609
505	16987	16584
506	17067	16596
507	17069	16531
508	17122	16517
509	17127	16455
510	17131	16393
511	17181	16375
512	17187	16316
513	17192	16256
514	17196	16195
515	17260	16190
516	17294	16157
517	17296	16093
518	17298	16032
519	17345	16011
520	17385	15984
521	17427	15958
522	17432	15899
523	17434	15837
524	17495	15829
525	17556	15821
526	17606	15802
527	17608	15740
528	17612	15681
529	17682	15680
530	17783	15707
531	17860	15711
532	17893	15677
533	17896	15617
534	17918	15573
535	17919	15512
536	17978	15500
537	17984	15443
538	18039	15428
539	18042	15369
540	18045	15310
541	18176	15359
542	18259	15367
543	18262	15307
544	18264	15248
545	18318	15231
546	18320	15172
547	18322	15113
548	18326	15054
549	18398	15053
550	18400	14994
551	18430	14957
552	18431	14898
553	18434	14840
554	18456	14798
555	18462	14743
556	18543	14748
557	18614	14744
558	18617	14687
559	18620	14630
560	18626	14575
561	18696	14571
562	18751	14554
563	18840	14564
564	18850	14513
565	18902	14493
566	18906	14438
567	18908	14381
568	19050	14429
569	19055	14375
570	19083	14338
571	19169	14343
572	19170	14286
573	19173	14229
574	19274	14246
575	19324	14225
576	19358	14191
577	19362	14136
578	19365	14080
579	19437	14075
580	19484	14051
581	19489	13997
582	19637	14046
583	19693	14028
584	19696	13972
585	19770	13967
586	19776	13914
587	19853	13910
588	19984	13944
589	19989	13890
590	20068	13888
591	20073	13834
592	20126	13813
593	20131	13759
594	20213	13758
595	20215	13702
596	20218	13648
597	20220	13593
598	20302	13591
599	20304	13536
600	20305	13480
601	20356	13457
602	20359	13403
603	20399	13374
604	20400	13319
605	20448	13294
606	20452	13241
607	20458	13190
608	20515	1317610	20499	13051
61610	20641	131461611	20686	131161612	20690	13062
613	20765	13054
614	20822	13035
615	20865	13006
616	20928	12991
617	20933	12939
618	20997	12923
619	21007	12875
620	21045	12844
621	21049	12791
622	21052	12739
623	21126	12729
624	21160	12696
625	21196	1266627	21287	12609
628	21379	12610
629	21417	12578
630	21421	12527
631	21470	12502
632	21486	12457
633	21526	12426
634	21528	12374
635	21530	12322
636	21546	12278
637	21553	12229
638	21569	12185
639	21604	12152
640	21617	12107
641	21656	12076
642	21708	12052
643	21711	12001
64643	21808	12055
644	21810	1200646	21809	11899
647	21814	11849
648	21905	11847
649	21912	11798
650	21990	11789
651	21994	11739
652	21998	11689
653	22117	11701
654	22120	11651
655	22168	11624
656	22232	11607
657	22259	11569
658	22276	11526
659	22277	11476
660	22302	11438
661	22359	11416
662	22362	11366
663	22398	11334
664	22412	11290
665	22430	11248
666	22493	11230
667	22533	11199
668	22535	11149
669	22577	11120
670	22580	11071
671	22584	11023
672	22623	10992
673	22660	10960
674	22712	10935
675	22715	10887
676	22720	10840
677	22731	10795
678	22840	10798
679	22866	10760
680	22981	10765
681	22984	10717
682	23023	10686
683	23037	10642
684	23115	10629
685	23121	10583
686	23154	10549
687	23233	10536
