iter	RMSE
0	588.9399474
1	572.7121403
2	556.5122783
3	540.8461254	4	525.1248709
5	511.3462826	6	497.8148765
7	484.203331
88	473.5533727
9	462.2627213
10	451.4004825
11	440.6302754
12	430.0462778
13	420.6841614
14	411.4811864
15	402.540169716	390.6065787
17	382.806586
18	375.511784
19	367.9489975
20	361.5814187
21	355.6831494
22	349.1431941
23	343.2484277
24	337.4860933
25	332.138817
26	327.3245334
27	322.7060812
28	318.6862761
29	314.7892893
30	310.8101707
31	307.1195845
32	303.651548
33	300.1934697
34	297.1471855
35	294.2775244
36	291.6658559
37	289.1446389
38	286.4678129
39	284.3717339
40	281.6545658
41	279.4669185
42	277.7205812
43	275.8654693
44	274.0030014
45	272.480699
46	270.6203281
47	269.13427
48	267.4857291
49	266.3687373
50	264.931455
51	263.3092943
52	261.811819
53	261.016382
54	259.9443461
55	259.0212708
56	257.9628599
57	25757	262.2458	255.8230878
59	254.8844178
60	253.9608528
61	253.1400195
62	252.5187197
63	251.687568
64	250.8232217
65	249.668449
66	248.8646039
67	248.0785046
68	247.4113799
69	246.8236158
70	24670	251.4938601
71	250.7172	2472	250.22573	243.7891878
74	243.2854698
75	242.7749651
76	242.0836392
77	241.5498966
78	240.9797582
79	240.4334776
80	239.860909
81	239.3646211
82	238.9482393
83	238.4618129
84	237.9398523
85	237.4501846
86	237.078097
87	236.8169998
88	236.4494277
89	235.8910599
90	235.4417559
91	235.1718308
92	234.6162948
93	234.0906206
94	233.5857516
95	233.0975392
96	232.5697498
97	232.3317639
98	232.0586604
99	231.7721399
100	231.4680656
101	231.203146
102	230.8650116
103	230.6353334
104	230.0906488
105	229.8061945
106	229.3645298
107	229.1165514
108	228.6678958
109	228.4762846
110	228.0838086
111	227.80341
112	227.46007
113	227.0052851
114	226.7104812
115	226.4375371
116	226.1924841
117	225.7372386
118	225.4187696
119	225.2140745
120	224.8434329
121	224.6862344
122	224.4509527
123	224.037049
124	223.8722031
125	223.712497
126	223.4250153
127	223.1487732
128	222.894481
129	222.6515907
130	222.2870889
131	222.0085337
132	221.8305896
133	221.4428469
134	221.1641064
135	220.7629062
136	220.4213645
137	220.189607
138	219.7125295
139	219.5041209
140	219.1624192
141	218.9405492
142	218.6252815
143	218.2987267
144	217.7399452
145	217.4967721
146	2146	224.1071036
147	223.7617931
148	223.545149	2149	223.2313081
150	223.0242849
151	222.7679351
152	222.5803636
153	222.317214
154	222.0149837
155	221.7905058
156	221.5689382
157	221.2774798
158	221.0547995
159	220.8363105
160	220.618265
161	220.3513617
162	220.076795
163	219.834223
164	219.4590932
165	219.1976519
166	218.9976821
167	218.834834
168	218.4457337
169	218.2776651
170	217.9848598
171	217.709608
172	217.3711427
173	217.1512009
174	216.9819685
175	216.6578917
176	216.4563584
177	216.2733627
178	216.0858319
179	215.8799723
180	215.7146324
181	215.6119337
182	215.4479421
183	215.3392248
184	215.1454022
185	214.9824121
186	214.6913782
187	214.4227567
188	214.2072699
189	214.1464302
190	213.9589833
191	213.7659936
192	213.3812477
193	212.9847511
194	212.6733416
195	212.4614364
196	212.2659639
197	212.0229639
198	211.7730269
199	211.6053625
200	211.3294655
201	211.1482056
202	210.9533455
203	210.6775863
204	210.3812956
205	210.2357567
206	210.0669389
207	209.9783445
208	209.7996292
209	209.638765
210	209.4658303
211	209.2482338
212	208.8243349
213	208.5767943
214	208.3441919
215	208.2022381
216	208.0341217	203.1838083
218	203.0397424
219	202.8756154
220	202.5784357
221	202.4471512
222	202.3677957
223	201.9458308
224	201.6849676
225	201.4585143
226	201.3540609
227	201.2252626
228	201.0600276
229	200.7467935
230	200.5568126
231	200.2351284
232	200.0156206
233	199.8302988
234	199.7418694
235	199.612907
236	199.2210405
237	199.1000353
238	199.0152011
239	198.9327358
240	198.5663655
241	198.1271432
242	197.9445292
243	197.8024194
244	197.373007
245	197.1368314
246	196.9537927
247	196.7822265
248	196.6938033
249	196.593804
250	196.3267549
251	195.976201
252	195.7986901
253	195.6741443
254	195.5472369
255	195.2475614
256	195.0305704
257	194.8985582
258	194.5017157
259	194.37539
260	194.036939
261	193.7175377
262	193.4208392
263	193.2474293
264	193.0842657
265	192.7387731
266	192.5277783
267	192.4520494
268	192.3771756
269	192.1824111
270	192.0803354
271	191.7952878
272	191.3976637
273	191.022968
274	190.9516967
275	190.7900611
276	190.4997853
277	190.1745557
278	189.8558363
279	189.5989274
280	189.5381904
281	189.4642238
282	189.2948132
283	189.1482601
284	189.0598457
285	188.8930642
286	188.7098188
287	188.4109995
288	188.2174788
289	187.935473
290	187.7686261
291	187.5525242
292	187.4529318
293	187.3227584
294	187.0412941
295	186.9419301
296	186.7538053
297	186.5982059
298	186.4667364
299	186.1501898
300	186.0357304
301	185.8780184
302	185.7295354
303	185.550578
304	185.23725
305	184.8641328
306	184.716079
307	184.5596348
308	184.4204833
309	184.2943344
310	184.1745182
311	184.0473649
312	183.7519691
313	183.3974755
314	183.2705295
315	183.0861713
316	182.9706742
317	182.7921805
318	182.7010069
319	182.4109262
320	182.2935409
321	181.9959008
322	181.8746669
323	181.770259
324	181.6464674
325	181.5291715
326	181.1830035
327	180.8272653
328	180.6892868
329	180.4267991
330	180.2991743
331	180.0710987
332	179.810965
333	179.7186108
334	179.3820092
335	179.0899911
336	178.8562848
337	178.7274628
338	178.5462285
339	178.4387339	187.6983171
340	341	178.0980341	187.1333396
342	186.9572474
343	186.9342436
344	186.772483
345	186.668859
346	186.5401407
347	186.5171269
348	186.4948311
349	186.4329408
350	186.4109649
351	186.1489812
352	185.7688794
353	185.6168302
354	185.575879
355	185.5079685
356	185.3663014
357	185.121602
358	184.9289523
359	184.6067377
360	184.3542108
361	184.3332732
362	184.0699782
363	184.064799
364	184.0434362
365	184.0084117
366	183.7030898
367	183.6514479
368	183.5226596
369	183.4456983
370	183.1288789
371	182.9139487
372	182.7438288
373	182.6716463
